URL,Sentiment Data
https://thediplomat.com/2024/01/where-does-anies-baswedan-stand-on-indonesias-foreign-policy/,"{'Anies Baswedan': [{'label': '4 stars', 'score': 0.2985268533229828}], 'Prabowo Subianto': [{'label': '4 stars', 'score': 0.36757177114486694}], 'Ganjar Pranowo': [{'label': '4 stars', 'score': 0.30954840779304504}]}"
https://apnews.com/article/indonesia-interview-presidential-candidate-a76cbee3c13f1a54a4b4d194f3ef116b,"{'Anies Baswedan': [{'label': '4 stars', 'score': 0.24651122093200684}], 'Prabowo Subianto': [{'label': '2 stars', 'score': 0.26758745312690735}], 'Ganjar Pranowo': [{'label': '4 stars', 'score': 0.3248344361782074}]}"
https://www.deccanherald.com/world/indonesian-presidential-candidate-anies-baswedan-plans-renewables-fund-2782086,"{'Anies Baswedan': [{'label': '1 star', 'score': 0.26408204436302185}], 'Prabowo Subianto': [{'label': '4 stars', 'score': 0.3750740587711334}], 'Ganjar Pranowo': [{'label': '4 stars', 'score': 0.3750740587711334}]}"
https://www.thejakartapost.com/indonesia/2024/02/08/anies-election-dark-horse-who-opposes-moving-capital.html,"{'Anies Baswedan': [{'label': '3 stars', 'score': 0.28486645221710205}], 'Prabowo Subianto': [{'label': '1 star', 'score': 0.25175970792770386}], 'Ganjar Pranowo': [{'label': '4 stars', 'score': 0.35188668966293335}]}"
https://www.scmp.com/week-asia/economics/article/3243579/indonesia-election-2024-can-attacking-jokowis-legacy-nusantara-project-help-anies-baswedan-polls,{}
https://www.rsis.edu.sg/rsis-publication/idss/ip23086-anies-baswedan-and-the-2024-presidential-election-preserving-the-right-capturing-the-middle/,"{'Anies Baswedan': [{'label': '4 stars', 'score': 0.3310880959033966}], 'Ganjar Pranowo': [{'label': '2 stars', 'score': 0.3237447440624237}]}"
https://en.tempo.co/read/1827506/anies-baswedan-vows-huge-investment-in-culture-like-south-korea-in-1980s,"{'Anies Baswedan': [{'label': '5 stars', 'score': 0.33412763476371765}]}"
https://voi.id/en/bernas/338943,"{'Anies Baswedan': [{'label': '1 star', 'score': 0.26445531845092773}]}"
https://www.thejakartapost.com/opinion/2023/12/26/analysis-conservative-ulamas-endorsement-cuts-both-ways-for-candidate-anies.html,"{'Anies Baswedan': [{'label': '4 stars', 'score': 0.2889533042907715}], 'Prabowo Subianto': [{'label': '1 star', 'score': 0.3275396525859833}], 'Ganjar Pranowo': [{'label': '3 stars', 'score': 0.3922470211982727}]}"
https://www.thejakartapost.com/indonesia/2024/01/13/anies-promises-equal-opportunities-for-entrepreneurs.html,"{'Anies Baswedan': [{'label': '4 stars', 'score': 0.4519846737384796}]}"
https://www.metrotvnews.com/play/NleCpWo9-pernyataan-pamungkas-ketiga-capres-di-debat-perdana-pilpres-2024,"{'Anies Baswedan': [{'label': '1 star', 'score': 0.24594172835350037}], 'Prabowo Subianto': [{'label': '2 stars', 'score': 0.2589428722858429}], 'Ganjar Pranowo': [{'label': '1 star', 'score': 0.37268179655075073}]}"
https://tirto.id/pernyataan-pamungkas-anies-di-debat-pertama-pilpres-2024-gTkA,"{'Anies Baswedan': [{'label': '1 star', 'score': 0.2778143286705017}], 'Prabowo Subianto': [{'label': '4 stars', 'score': 0.2996251881122589}], 'Ganjar Pranowo': [{'label': '4 stars', 'score': 0.3403337001800537}]}"
https://www.indiatoday.in/movies/celebrities/story/sonakshi-sinha-hugs-salman-khan-asks-rekha-not-to-cry-in-wedding-party-video-2565083-2024-07-11,"{'Salman': [{'label': '4 stars', 'score': 0.3781186640262604}]}"
https://www.dnaindia.com/hollywood/report-world-s-richest-actress-jami-gertz-net-worth-rs-66000-crore-no-hits-richer-than-shah-rukh-khan-salman-prabhas-3096446,"{'Salman': [{'label': '1 star', 'score': 0.32573866844177246}]}"
